Node	Rewiring_score
UniRef90_I9R8F8	6.718265147166239
UniRef90_B0MSD5	6.612459338556994
UniRef90_C0FS11	6.552517692196214
UniRef90_A7ACD2	6.399963457256469
UniRef90_H3KB90	6.383786777093443
UniRef90_A5Z3S1	6.216160860709483
UniRef90_R9HKJ7	6.161615211316248
UniRef90_A5Z511	6.133074899715479
UniRef90_E5V0K6	6.12738684322071
UniRef90_B0NWG2	6.095726882746999
UniRef90_R0BD64	6.092410414825133
UniRef90_A0A174QBF2	6.068944889194981
UniRef90_A0A173S116	5.977761221153375
UniRef90_B0NWG0	5.970336410714572
UniRef90_A0A173T339	5.967581563640003
UniRef90_C0FUH6	5.945602568641852
UniRef90_H3K9P8	5.934796909906189
UniRef90_A6BKY7	5.828703935362743
UniRef90_A0A069SFN5	5.668844265601846
UniRef90_A0A395X7H2	5.492645662505833
UniRef90_A5KNK6	5.372039955080876
UniRef90_D4JYB8	4.9736856169920225
UniRef90_A5Z319	4.948670973554983
UniRef90_A0A1Q6TJ39	4.630787463319166
UniRef90_I9F767	4.480607806283197
UniRef90_R7H7K6	4.349714665173461
UniRef90_D4CI30	4.240176950934618
UniRef90_S1QBV8	4.215274224697829
UniRef90_E5V0K3	4.168399248567687
UniRef90_F3PNT7	3.7908702005071966
UniRef90_U2AZI4	3.7830913878273544
UniRef90_D4WED6	3.4110417282778456
UniRef90_F7LFA0	3.170274975985931
UniRef90_C9KZX3	3.1077397905479103
UniRef90_A0A174PY25	3.017119584267446
UniRef90_F3PNT8	2.8711915069070635
UniRef90_F0YZ46	2.7612045844867215
UniRef90_A0A069S4N8	2.6867267228776712
UniRef90_A0A1Y4M362	2.651191149694996
UniRef90_A0A139LVJ5	2.603207790713369
UniRef90_A0A0K9CQ02	2.392146016403454
UniRef90_A0A0K9CPZ3	2.371695809222953
UniRef90_I9GA88	2.3081196896760554
UniRef90_A0A395UGF2	1.7664427025653746
UniRef90_A0A0P0LKC3	1.5228753051489625
UniRef90_J7TUV6	1.5209975131084728
UniRef90_A0A374UJ00	1.3264650160325941
UniRef90_A0A1G8KQV6	1.2772148081055588
UniRef90_A0A0P0M3R6	1.2740670861006
UniRef90_A0A396FGB3	1.0527072998710572
UniRef90_D1JXA0	0.9683773092110537
UniRef90_G6B0L0	0.9169919192137268
UniRef90_C0FSN3	0.8114445008570048
UniRef90_I9R1R5	0.6492473780131941
