rank,pathway,rewiring_score_ref_thresh,grid_cells_present_of_12,frac_grid_cells,permutation_verdict
57,PWY-7446: sulfoglycolysis,6.263210603299504,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
58,PWY-622: starch biosynthesis,6.118904657894007,11,0.9166666666666666,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
59,PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,6.118775768663426,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
60,PWY-6210: 2-aminophenol degradation,6.0899281212078336,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
61,PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,5.981494799905287,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
62,PWY-6215: 4-chlorobenzoate degradation,5.903482782561034,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
63,PWY-6263: superpathway of menaquinol-8 biosynthesis II,5.862454615238862,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
64,PWY66-367: ketogenesis,5.739862825608969,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
65,PWY-922: mevalonate pathway I,5.618464564816558,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
66,PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),5.605525102825664,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
67,PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),5.5935820522325015,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
68,PWY-7560: methylerythritol phosphate pathway II,5.502932870346262,11,0.9166666666666666,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
69,"PWY-7039: phosphatidate metabolism, as a signaling molecule",5.444928237381067,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
70,"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",5.377651530561889,6,0.5,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
71,PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),5.371264017971525,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
72,PWY-5692: allantoin degradation to glyoxylate II,5.286419532196193,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
73,URDEGR-PWY: superpathway of allantoin degradation in plants,5.286419532196192,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
74,PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),5.216816045163264,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
75,PWY-6071: superpathway of phenylethylamine degradation,5.199890976587577,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
76,PWY490-3: nitrate reduction VI (assimilatory),5.081097336619052,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
77,RUMP-PWY: formaldehyde oxidation I,4.998408485194244,6,0.5,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
78,PWY-6182: superpathway of salicylate degradation,4.968660075854166,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
79,PWY0-321: phenylacetate degradation I (aerobic),4.946074159246109,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
80,PWY-4722: creatinine degradation II,4.7651795153419085,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
81,PWY-6285: superpathway of fatty acids biosynthesis (E. coli),4.736228066093482,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
82,PWY-5265: peptidoglycan biosynthesis II (staphylococci),4.71473473697905,11,0.9166666666666666,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
83,PWY-5088: L-glutamate degradation VIII (to propanoate),4.639493630059667,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
84,PWY-6185: 4-methylcatechol degradation (ortho cleavage),4.597328700810207,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
85,"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",4.542799526356456,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
86,PWY-5994: palmitate biosynthesis I (animals and fungi),4.528487926493431,11,0.9166666666666666,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
87,PWY-7316: dTDP-N-acetylviosamine biosynthesis,4.341667348948758,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
88,PWY-5415: catechol degradation I (meta-cleavage pathway),4.339455597790085,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
89,P23-PWY: reductive TCA cycle I,4.33210586266831,6,0.5,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
90,PWY-5004: superpathway of L-citrulline metabolism,4.32522986990561,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
91,PWY-6876: isopropanol biosynthesis,4.1552939180886765,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
92,"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",3.540358607727427,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
93,"PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",3.257966314650714,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
94,PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,3.157679623551392,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
95,PWY-7616: methanol oxidation to carbon dioxide,2.886526281551679,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
96,PWY-6749: CMP-legionaminate biosynthesis I,2.812977370741089,11,0.9166666666666666,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
97,PWY-7294: xylose degradation IV,2.780722733520976,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
98,PWY-5392: reductive TCA cycle II,2.406547331075633,6,0.5,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
99,POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,2.024350911143364,9,0.75,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
100,PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast),1.804995437388848,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
101,PWY-5180: toluene degradation I (aerobic) (via o-cresol),1.60749357279868,10,0.8333333333333334,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
102,PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol),1.60749357279868,10,0.8333333333333334,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
103,P562-PWY: myo-inositol degradation I,1.5447105403111177,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
104,PWY-7245: superpathway NAD/NADP - NADH/NADPH interconversion (yeast),1.4853447236931756,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
105,ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,,1,0.0833333333333333,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
